	375	1	92	110	158	286	295	393	460	501	606	658	675
50	g	g	r	g	g	g	g		r	g	g	g	g
51	g	g	g	g	g	g	g		r	g	g	g	g
52	g	g	g	g	g	g	g		r	g	g	r	g
53	g	g	g	g	g	g	g		r	g	g	g	g
54	g	g	g	g	g	g	g		r	g	g	r	g
55	g	g	g	g	g	g	g		r	g	g	g	g
56	g	g	g	g	g	g	g		r	g	g	g	g
57	g	g	g	g	g	g	g		r	g	g	g	g
58	g	g	g	g	g	g	g		r	g	g	g	g
59	g	g	g	g	g	g	g		r	g	g	g	g
60	g	g	g	g	g	g	g		r	g	r	g	g
61	g	g	g	g	g	g	g		g	g	r	g	g
62	g	g	g	g	g	g	g		g	g	r	g	g
63	g	g	g	g	g	g	g		g	g	r	g	g
64	g	g	g	g	g	g	g		g	g	r	g	g
65	g	g	g	g	g	g	g		g	g	r	g	g
66	g	g	g	g	g	g	g		g	g	r	g	g
67	g	g	g	g	g	g	g		g	g	r	g	g
68	g	g	g	g	g	g	g		g	g	g	g	g
69	g	g	g	g	g	g	g		g	g	g	g	g
70	g	g	g	g	g	g	g		g	g	g	g	g
71	g	g	g	g	g	g	g		g	g	g	g	g
72	g	g	g	g	g	g	g		g	g	g		g
73	g	g	g	g	g	g	g		g	g	g		g
74	g	g	g	g	g	g	g		g	g	r		g
75	g	g	g	g	g	g	g		g	g	g		g
76	g	g	g	g	g	g	g		g	g	g		g
77	g	g	g	g	g	g	g		g	g	g		g
78	g	g	g	g	g	g	g		g	g	g		g
79	g	g	g	g	g	g	g		g	g	g		g
80	g	g	g	g	g	g	g		g	g	g		g
81	g	g	g	g	g	g	g			g	g		g
82	g	g	g	g	g	g	g			g	g		r
83	g	g	g	g	g	g	g			g			r
84	g	r	g	g	g	g	g			g			r
85	g	r	g	g	g	g	g			g			r
86	g	r	g	g	r	g	g			g			r
87	g	r	g	g	r	g	g			g			r
88	g	r	g	g	r	g	g			g			g
89	g	g	g	g	r	g	g			g			g
90	g	g	g	g	r	g	g			g			g
91	g	r	g	g	r	g	g			g			g
92	g	r	g	g	g	g	g			g			g
93	g	g	g	g	g	g	g			g			g
94	g	g	g	g	g	g	g			g			g
95	g	g	g	g	g	g	g			g			g
96	g	g	g	g	g	g	g			g			r
97	g	g	g	g	g	g	g			g			r
98	g	r	g	g	g	g	g			g			g
99	g	r	g	g	g	g	g			g			g
100	g	g	g	g	g	g	g			g			g
101	g	r	g	g	g	g	g			g			g
102	g	r	g	g	g	g	g			g			g
103	g	g	g	g	g	g	g			g			g
104	g	g	g	g	g	g	g			g			g
105	g	g	g	g	g	g	g			g			g
106	g	g	g	g	g	r	g			g			g
107	g	g	g	g	g	g	g			g			g
108	g	g	g	g	g	g	g			g			g
109	g	g	g	g	g	g	g			g			
110	g	g	g	g	g	g	g			g			
111	g	g	g	g	g	g	g			g			
112	g	g	g	g	g	g	g			g			
113	g	g	g	g	g	g	g			g			
114	g	g	g	g	g	g	g			g			
115	g	g	g	g	r	g	g			g			
116	g		g	g	r	g	g			g			
117	g		g	g	r	g	g			g			
118	g		g	r	r	g	g			g			
119	g		g	r	r	g	g			g			
120	g		g	r	r	g	g			r			
121	g		g	r	g	g	g			r			
122	g		g	r	g	g	g			r			
123	g		g	g	g	r	g			r			
124	g		g	g	g	r	r			r			
125	g		g	g	g	r	r						
126	r		g	g	g	r	r						
127	g		g	g	g	r	r						
128	g		g			r	r						
129	r		g			r	g						
130	r		g			r	g						
131	g		g			r	g						
132	r		g			r	g						
133	r		g			r	g						
134	r		g				r						
135	r		g				r						
136	r		g				r						
137	r		g				r						
138	r		g				r						
139	r		g				r						
140	g		g				g						
141	g		g				g						
142	g		r				g						
143	g		r				g						
144	g		r										
145	g		r										
146	g		r										
147	g		r										
148	g		g										
149	g		g										
150	g		g										
151	g		g										
152	g		g										
153	g		g										
154	g												
155	g												
156	g												
157	g												
158	g												
159	g												
160	g												
161	g												
162	r												
163	r												
164	r												
165	r												
166	r												
167	r												
