	375	1	92	110	158	286	295	393	460	501	606	658	675
50	g	g	g	g	g	g	g		g	g	g	r	g
51	g	g	g	g	g	g	g		g	g	g	r	g
52	g	g	g	g	g	g	g		g	g	g	r	g
53	g	g	g	g	g	g	g		g	g	g	r	g
54	g	g	g	g	g	g	g		g	g	g	g	g
55	g	g	g	g	g	g	g		g	g	g	g	g
56	g	g	g	g	g	g	g		g	g	r	g	g
57	g	g	g	g	r	g	g		g	g	r	g	g
58	g	g	g	g	g	g	g		g	g	r	g	g
59	g	g	g	g	r	g	g		g	g	r	g	g
60	g	g	g	g	r	g	g		g	g	r	g	g
61	g	g	g	g	r	g	g		g	g	r	g	g
62	g	g	g	g	r	g	g		g	g	r	g	g
63	g	g	g	g	g	g	g		g	g	r	g	g
64	g	g	g	g	g	g	g		g	g	r	g	g
65	g	g	g	g	g	g	g		g	g	r	g	g
66	g	g	g	g	g	g	g		g	g	r	g	g
67	g	g	g	g	g	g	g		g	g	r	g	g
68	g	g	g	g	g	g	g		g	g	r	g	g
69	g	g	g	g	g	g	g		g	g	r	g	g
70	g	g	g	g	g	g	g		g	g	g	g	g
71	g	g	g	g	g	g	g		g	g	g	g	g
72	g	g	g	g	g	g	g		g	g	g		g
73	g	g	g	g	g	g	g		g	g	g		g
74	g	g	g	g	g	g	g		g	g	g		g
75	g	g	g	g	g	g	g		g	g	g		g
76	g	g	g	g	g	g	g		g	g	g		g
77	g	g	g	g	g	g	g		g	g	g		g
78	g	g	g	g	g	g	g		r	g	g		g
79	g	g	g	g	g	g	g		r	g	g		g
80	g	g	g	g	g	g	g		r	g	g		g
81	g	g	g	g	g	g	g			g	g		g
82	g	g	g	g	g	g	g			g	g		g
83	g	g	g	g	g	g	g			g			g
84	g	g	g	g	g	g	g			g			r
85	g	r	g	g	g	g	g			g			r
86	g	r	g	g	g	g	g			g			r
87	g	r	g	g	r	g	g			g			r
88	g	r	g	g	r	g	g			g			r
89	g	r	g	g	r	g	g			g			r
90	g	r	g	g	r	g	g			g			r
91	g	r	g	g	r	g	g			g			r
92	g	r	g	g	r	g	g			g			r
93	g	r	g	g	r	g	g			g			r
94	g	r	g	g	r	g	g			g			r
95	g	r	g	g	r	g	g			g			r
96	g	r	g	g	r	g	g			g			r
97	g	r	g	g	r	g	g			g			r
98	g	r	g	g	r	g	g			g			r
99	g	r	g	g	r	g	g			g			r
100	g	r	g	g	r	g	g			g			r
101	g	r	g	g	r	g	g			g			r
102	g	r	g	g	r	g	g			g			g
103	g	r	g	g	r	g	g			g			g
104	g	r	g	g	r	g	g			g			g
105	g	r	g	g	r	g	g			g			g
106	g	g	g	g	r	g	g			g			g
107	g	g	g	g	r	g	g			g			g
108	g	g	g	g	r	g	g			g			g
109	g	g	g	g	r	g	g			g			
110	g	g	g	g	r	g	g			g			
111	g	g	g	g	r	g	g			g			
112	g	g	g	g	g	g	g			g			
113	g	g	g	g	g	g	g			g			
114	g	g	g	g	g	g	g			g			
115	g	g	g	g	r	g	g			g			
116	g		g	g	r	g	g			g			
117	g		g	g	r	g	g			g			
118	g		g	g	r	g	g			g			
119	g		g	g	r	g	g			g			
120	g		g	g	r	g	g			g			
121	g		g	g	r	g	g			g			
122	g		g	g	g	g	g			g			
123	g		g	g	g	g	g			g			
124	g		g	g	g	r	g			g			
125	g		g	g	g	g	g						
126	g		g	g	g	g	g						
127	g		g	g		g	g						
128	g		g			g	g						
129	g		g			g	g						
130	g		g			g	g						
131	g		g			g	g						
132	g		g			g	g						
133	r		g			g	g						
134	r		g				g						
135	r		g				r						
136	r		g				r						
137	r		g				r						
138	r		g				r						
139	r		g				r						
140	r		g				g						
141	r		g				g						
142	r		g				g						
143	r		g				g						
144	r		g										
145	r		g										
146	r		g										
147	r		g										
148	r		g										
149	r		g										
150	r		g										
151	r		g										
152	r		g										
153	r		g										
154	g												
155	g												
156	g												
157	g												
158	g												
159	g												
160	r												
161	g												
162	g												
163	r												
164	r												
165	r												
166	r												
